Removed,Weighted Cross Mean (RMSE and MAE),Unweighted Mean (RMSE and MAE)
(-) B_Biofilm_Height,0.1654185862409235,0.14887085482503637
(-) B_Biofilm_Roughness,0.15835731131727496,0.1415016296828041
(-) B_Biofilm_SubstratumCoverage,0.15867057309093907,0.1420967526222816
(-) B_Biofilm_Volume,0.1675056672826588,0.15226619784937187
(-) I,0.15703570916037854,0.14021727283532312
(-) II,0.15701180748431612,0.14019546994864251
(-) III,0.15709453544052518,0.14025143852398
(-) P_Biofilm_Height,0.1768227268077259,0.15003264495713467
(-) P_Biofilm_Volume,0.1581997130693334,0.14135299129307416
